date,temperature,temp_n_stations
2023-06-04,68.75423006639429,979
2023-06-05,68.6361871141692,981
2023-06-06,68.64588731605691,984
2023-06-07,67.57357198680202,985
2023-06-08,67.45345186497462,985
2023-06-09,68.36693457505072,986
2023-06-10,68.71733969004065,984
2023-06-11,68.13605942929807,983
2023-06-12,67.32238989329268,984
2023-06-13,67.9822361453252,984
2023-06-14,69.39082720977596,982
2023-06-15,69.48060296243655,985
2023-06-16,69.19043490621814,981
2023-06-17,70.72977167315574,976
2023-06-18,71.5354078534836,976
2023-06-19,72.00856889150461,977
2023-06-20,71.4042629389002,982
2023-06-21,70.74576607309645,985
2023-06-22,70.28060311437247,988
2023-06-23,71.13355864741642,987
2023-06-24,72.95137333231708,984
2023-06-25,74.12349021928935,985
2023-06-26,73.91451307598784,987
2023-06-27,73.5587383915237,991
2023-06-28,73.86276032894736,988
2023-06-29,75.07498968452983,989
2023-06-30,76.53186745233266,986
2023-07-01,77.17870200411099,973
2023-07-02,77.3047075405961,973
2023-07-03,77.37670047191011,979
2023-07-04,76.04369442169909,977
2023-07-05,75.85224824387754,980
2023-07-06,75.12262289897959,980
2023-07-07,74.4511585367347,980
2023-07-08,74.46874979345604,978
2023-07-09,74.84400090246406,974
2023-07-10,76.34670635378322,978
2023-07-11,77.44131690602656,979
2023-07-12,78.09700754376931,971
2023-07-13,78.73585890824744,970
2023-07-14,78.57220382730092,967
2023-07-15,78.72674706139438,961
2023-07-16,78.92447890093848,959
2023-07-17,79.32591313291796,963
2023-07-18,79.05125952182952,962
2023-07-19,78.71093236994818,965
2023-07-20,78.50286853678756,965
2023-07-21,77.82400486344538,952
2023-07-22,78.23110525236594,951
2023-07-23,78.87184111671924,951
2023-07-24,79.42435292654774,953
2023-07-25,80.08709076285415,953
2023-07-26,80.45932960229645,958
2023-07-27,80.5886883696781,963
2023-07-28,80.38503013513514,962
2023-07-29,79.30569667640918,958
2023-07-30,78.34709697803346,956
2023-07-31,77.24025887682673,958
2023-08-01,76.62693772285418,967
2023-08-02,76.19335649948293,967
2023-08-03,75.99551847772021,965
2023-08-04,76.41547554093263,965
2023-08-05,76.62525151612903,961
2023-08-06,76.21089161914672,961
2023-08-07,75.59514080166149,963
2023-08-08,75.01373383747412,966
2023-08-09,75.47898651817238,963
2023-08-10,75.97521822797928,965
2023-08-11,76.6966914159751,964
2023-08-12,77.35497387642782,963
2023-08-13,76.49146996780894,963
2023-08-14,76.12937659067359,965
2023-08-15,76.71918522130301,967
2023-08-16,77.48237166943005,965
2023-08-17,77.37857946991701,964
2023-08-18,76.58194091304348,966
2023-08-19,75.42730060373444,964
2023-08-20,76.19875109166667,960
2023-08-21,77.15479811398964,965
2023-08-22,76.3642094849741,965
2023-08-23,76.8348233922997,961
2023-08-24,77.55891929698858,963
2023-08-25,77.01828486500519,963
2023-08-26,76.59509747242456,961
2023-08-27,75.32445622372529,961
2023-08-28,74.94522398026999,963
2023-08-29,75.53197145906735,965
2023-08-30,74.56163095426196,962
2023-08-31,73.060901827622,963
2023-09-01,72.81775173922186,951
2023-09-02,73.94591879284962,951
2023-09-03,75.23283968809272,949
2023-09-04,74.19653571549,949
2023-09-05,74.560646658588,949
2023-09-06,74.51221692348008,954
2023-09-07,74.39597224973767,953
2023-09-08,74.03538340566037,954
2023-09-09,73.2474957148847,954
2023-09-10,71.91269224789916,952
2023-09-11,70.75569551308901,955
2023-09-12,69.82794059224318,954
2023-09-13,68.73398510167715,954
2023-09-14,67.82048247064989,954
2023-09-15,67.50404458743455,955
2023-09-16,68.11110622105262,950
2023-09-17,68.6410527486856,951
2023-09-18,68.322074795383,953
2023-09-19,67.89667262710084,952
2023-09-20,68.10432428886556,952
2023-09-21,67.69716439810925,952
2023-09-22,66.90500943277311,952
2023-09-23,66.59050930494217,951
2023-09-24,67.12655354631579,950
2023-09-25,67.7956837192429,951
2023-09-26,67.92282373004201,952
2023-09-27,67.67094001993704,953
2023-09-28,67.18732313684211,950
2023-09-29,67.54455069368422,950
2023-09-30,67.84229242088608,948
