date,pct_respiratory,pm25,pm25_n_stations,no2,no2_n_stations,ozone,ozone_n_stations,temperature,temp_n_stations,humidity,humidity_n_stations
2023-03-06,13.26,7.553305748525696,2374,8.007806518604651,430,0.03619031483087597,1153,46.32991800415369,963,65.01566200731708,410
2023-03-07,12.87,6.645198215785663,2762,7.210833070754718,424,0.03608211130284728,1159,44.253826367768596,968,64.4589206902439,410
2023-03-08,13.05,6.219731475553698,2393,7.646176466042155,427,0.03482462618432386,1161,42.87230181320949,969,63.91815005839416,411
2023-03-09,12.8,6.7912623696287024,2397,8.305295107226108,429,0.034328292850990524,1161,44.318601032921805,972,65.47336723543688,412
2023-03-10,12.52,6.406002713323353,2672,7.613721262295082,427,0.03191506620808254,1163,45.413468096807414,971,74.86715605084746,413
2023-03-11,13.4,5.385386897608057,2383,5.035805035377359,424,0.03280464853195164,1158,45.842050915463915,970,72.51032876029056,413
2023-03-12,14.49,5.963549290824917,2376,5.107432529550827,423,0.032326514236410704,1159,43.512690332988626,967,74.28817404600484,413
2023-03-13,13.25,5.523601360902256,2793,6.870449913145539,426,0.03399730034423408,1162,42.97957258264463,968,70.69654828813559,413
2023-03-14,13.12,5.103225936967632,2348,6.344382134117647,425,0.03557496020761246,1156,42.93653431088083,965,67.75834258353511,413
2023-03-15,13.08,6.6775352743928424,2347,7.266918077464789,426,0.03698042350907519,1157,45.28876069678089,963,64.83404591747573,412
2023-03-16,12.82,8.255766773805043,2657,8.448783190588236,425,0.03870317962003455,1158,45.66308859067358,965,63.09978616788322,411
2023-03-17,12.34,7.840953071398571,2381,8.108730070422535,426,0.036687942241379314,1160,41.64847281619937,963,63.13902420437956,411
2023-03-18,13.22,5.365006180520571,2382,6.090909082742317,423,0.038635860505666954,1147,39.35511551247401,962,52.571876176039126,409
2023-03-19,14.43,4.968022470036101,2770,5.149387848341232,422,0.038321993006993,1144,38.78369535483871,961,53.17524344362745,408
2023-03-20,13.22,6.87712402190396,2374,7.897927284382285,429,0.03837518977469671,1154,42.76872256787565,965,59.042264953545235,409
2023-03-21,13.03,8.56352479832636,2390,8.394718456674473,427,0.03896156833910035,1156,45.68996521243523,965,66.30406239999999,410
2023-03-22,13.0,9.572058329583802,2667,7.512019477751757,427,0.0367080793787748,1159,49.10438626064382,963,73.73965632107843,408
2023-03-23,12.61,9.238116226090604,2384,7.203172788732395,426,0.034781981958762885,1164,50.336822582815735,966,74.96520895110025,409
2023-03-24,12.16,7.024059424217119,2395,6.419237850815851,429,0.03486176030927835,1164,47.510033627066115,968,68.29985672549019,408
2023-03-25,13.02,5.914381115617218,2811,5.877338097902098,429,0.03690240086206897,1160,45.98637638095238,966,63.982628184275185,407
2023-03-26,13.81,6.4616606508403365,2380,6.140763228235294,425,0.03740906846999155,1183,46.166115171310636,969,59.129290926289926,407
2023-03-27,12.73,6.838516066999583,2403,8.373318981395348,430,0.03794645264040234,1193,45.77932275823046,972,58.73408837254902,408
2023-03-28,12.59,7.052127407380074,2710,8.502031362586605,433,0.039447432635983264,1195,45.37963403285421,974,56.73782454166667,408
2023-03-29,12.24,7.294503737597376,2439,8.086567124711316,433,0.0411451186299081,1197,45.3019132523172,971,59.43150565770171,409
2023-03-30,12.29,7.567488239390195,2427,7.339056324825986,431,0.04172737907949791,1195,46.6258997507724,971,62.66614302682927,410
2023-03-31,12.0,7.9191806893480585,2807,7.875101421296296,432,0.0390704582299421,1209,50.718786993833504,973,64.16559774754903,408
2023-04-01,12.69,6.0559346668048075,2413,6.245512623255814,430,0.03947673512154233,1193,51.980950038934424,976,58.149539288834944,412
2023-04-02,13.64,5.294056115255658,2386,4.93633471495327,428,0.039154477424749166,1196,50.959862679050566,969,55.47603969852941,408
