date,ozone,ozone_n_stations
2023-06-11,0.03929497644191714,1231
2023-06-12,0.03689066558441559,1232
2023-06-13,0.038504581508515816,1233
2023-06-14,0.03804774939369442,1237
2023-06-15,0.03813411129163282,1231
2023-06-16,0.037889702526487365,1227
2023-06-17,0.0400369959049959,1221
2023-06-18,0.03936544526748972,1215
2023-06-19,0.039168937704918035,1220
2023-06-20,0.03882036025848142,1238
2023-06-21,0.038264526742301457,1234
2023-06-22,0.03537026645519429,1261
2023-06-23,0.03488644524959742,1242
2023-06-24,0.03703818087649403,1255
2023-06-25,0.037462214743589746,1248
2023-06-26,0.0372357982243745,1239
2023-06-27,0.03759765189363417,1241
2023-06-28,0.04017887177482408,1279
2023-06-29,0.041134491777603754,1277
2023-06-30,0.04113012197028929,1279
2023-07-01,0.03970955177993528,1236
2023-07-02,0.036873128267973856,1224
2023-07-03,0.03695530226904376,1234
2023-07-04,0.035770687296416935,1228
2023-07-05,0.03516222024291498,1235
2023-07-06,0.03479908930008045,1243
2023-07-07,0.03483972594987874,1237
2023-07-08,0.0346636639544345,1229
2023-07-09,0.033233482843137256,1224
2023-07-10,0.03548199270072992,1233
2023-07-11,0.03747401775625504,1239
2023-07-12,0.03668666531932094,1237
2023-07-13,0.035753543602281994,1227
2023-07-14,0.03624672608340147,1223
2023-07-15,0.03458504773462783,1236
2023-07-16,0.03446156750202102,1237
2023-07-17,0.036105999188311685,1232
2023-07-18,0.03571712296416938,1228
2023-07-19,0.034935121138211386,1230
2023-07-20,0.037240582587469484,1229
2023-07-21,0.035423782467532465,1232
2023-07-22,0.03465287957689178,1229
2023-07-23,0.036736002429149796,1235
2023-07-24,0.03793783414239482,1236
2023-07-25,0.0396151319388576,1243
2023-07-26,0.04016956500802568,1246
2023-07-27,0.03798636392914653,1242
2023-07-28,0.038440277551020405,1225
2023-07-29,0.034547168170631665,1219
2023-07-30,0.033299901054339005,1233
2023-07-31,0.034986748981255096,1227
2023-08-01,0.03620385481239804,1226
2023-08-02,0.036868159705159706,1221
2023-08-03,0.036786771241830066,1224
2023-08-04,0.035950525630593984,1229
2023-08-05,0.03525559787059787,1221
2023-08-06,0.03467920709570957,1212
2023-08-07,0.033419320331950206,1205
2023-08-08,0.033517640920295806,1217
2023-08-09,0.03350822477440525,1219
2023-08-10,0.032394069501226495,1223
2023-08-11,0.032341025995125915,1231
2023-08-12,0.03321690196078431,1224
2023-08-13,0.030714276456111567,1219
2023-08-14,0.03146194453507341,1226
2023-08-15,0.03240754640839386,1239
2023-08-16,0.03537506634692246,1251
2023-08-17,0.03580377180114099,1227
2023-08-18,0.03602298864557989,1233
2023-08-19,0.03561750123051682,1219
2023-08-20,0.033554099754701555,1223
2023-08-21,0.03173879050736497,1222
2023-08-22,0.0329823314378554,1231
2023-08-23,0.03563559610705596,1233
2023-08-24,0.0369748631147541,1220
2023-08-25,0.035157625407166125,1228
2023-08-26,0.033972355792933444,1217
2023-08-27,0.03259777112387203,1219
2023-08-28,0.03403869942669943,1221
2023-08-29,0.0340929068627451,1224
2023-08-30,0.034603910964550705,1213
2023-08-31,0.035107449713818475,1223
2023-09-01,0.03417247716150082,1226
2023-09-02,0.035808463054187195,1218
2023-09-03,0.03427039388934765,1211
2023-09-04,0.032779019008264465,1210
2023-09-05,0.0328411393442623,1220
2023-09-06,0.03292921693548387,1240
2023-09-07,0.03279667095736122,1243
2023-09-08,0.03247105288852726,1229
2023-09-09,0.03231221760391198,1227
2023-09-10,0.030244665579119086,1226
2023-09-11,0.02972429641693811,1228
2023-09-12,0.03006083360522023,1226
2023-09-13,0.030344614379084964,1224
2023-09-14,0.032070914447134787,1239
2023-09-15,0.03227319886822959,1237
2023-09-16,0.033173723089564504,1217
2023-09-17,0.03229374979423868,1215
2023-09-18,0.03292549630844955,1219
2023-09-19,0.033886340704340705,1221
2023-09-20,0.03434915334420881,1226
2023-09-21,0.033645714401952805,1229
2023-09-22,0.03439544009779951,1227
2023-09-23,0.034221710892710894,1221
2023-09-24,0.031103169811320754,1219
2023-09-25,0.029822295901639345,1220
2023-09-26,0.029324549630844955,1219
2023-09-27,0.029907183823529408,1224
2023-09-28,0.029885181818181818,1221
2023-09-29,0.030733370400654127,1223
2023-09-30,0.030498708777686626,1219
2023-10-01,0.03121555110732538,1174
2023-10-02,0.03251626079593565,1181
2023-10-03,0.034097998309382926,1183
2023-10-04,0.0329120813559322,1180
2023-10-05,0.030067189189189193,1184
2023-10-06,0.028162581081081082,1184
2023-10-07,0.02841065593220339,1180
2023-10-08,0.029025241086587432,1178
2023-10-09,0.02890082242990654,1177
2023-10-10,0.029789539574468088,1175
2023-10-11,0.02958368344709898,1172
2023-10-12,0.027856420648464164,1172
2023-10-13,0.025642575680272107,1176
2023-10-14,0.02391336425531915,1175
2023-10-15,0.026122871160409556,1172
2023-10-16,0.023881920308483292,1167
2023-10-17,0.02570894061962134,1162
2023-10-18,0.028357118820468343,1153
2023-10-19,0.02981475543951262,1149
2023-10-20,0.029500304952215464,1151
2023-10-21,0.030103299563318777,1145
2023-10-22,0.02789699650655022,1145
2023-10-23,0.027564714036617262,1147
2023-10-24,0.030967009548611108,1152
2023-10-25,0.02978220942408377,1146
2023-10-26,0.028164724587315376,1151
2023-10-27,0.025768854656222803,1149
2023-10-28,0.025178461605584644,1146
2023-10-29,0.02364319527145359,1142
2023-10-30,0.024485326029798422,1141
2023-10-31,0.027382393728222997,1148
2023-11-01,0.027126142857142856,812
2023-11-02,0.029489349323493237,813
2023-11-03,0.03170674565756824,806
2023-11-04,0.030014324223602486,805
2023-11-05,0.031838447204968943,805
2023-11-06,0.03149338528678305,802
2023-11-07,0.030250796019900494,804
2023-11-08,0.028294986318407957,804
2023-11-09,0.024916183291770574,802
2023-11-10,0.024208649625935164,802
2023-11-11,0.025358738693467334,796
2023-11-12,0.026922209068010076,794
2023-11-13,0.026201445692883896,801
2023-11-14,0.026256496863237142,797
2023-11-15,0.02701456242118537,793
2023-11-16,0.02494692731829574,798
2023-11-17,0.024874166458072593,799
2023-11-18,0.025127236180904525,796
2023-11-19,0.029010431446540884,795
2023-11-20,0.02539618813131313,792
2023-11-21,0.023802733585858587,792
2023-11-22,0.02165513417721519,790
2023-11-23,0.024751413705583758,788
2023-11-24,0.02608034263959391,788
2023-11-25,0.024505687898089174,785
2023-11-26,0.02456760791826309,783
2023-11-27,0.024867663694267517,785
2023-11-28,0.024624268789808917,785
2023-11-29,0.02592796823379924,787
2023-11-30,0.026788603535353537,792
2023-12-01,0.02316727692307692,780
2023-12-02,0.021928868725868723,777
2023-12-03,0.02349868134715026,772
2023-12-04,0.02126504134366925,774
2023-12-05,0.021655917861799216,767
2023-12-06,0.02507438571428571,770
2023-12-07,0.026403080729166667,768
2023-12-08,0.026379716883116883,770
2023-12-09,0.026151674479166668,768
2023-12-10,0.023584492167101827,766
2023-12-11,0.021093351948051946,770
2023-12-12,0.02252482314694408,769
2023-12-13,0.023614922178988324,771
2023-12-14,0.023738973890339424,766
2023-12-15,0.023688875486381326,771
2023-12-16,0.024332411917098444,772
2023-12-17,0.023538297650130546,766
2023-12-18,0.023354708712613786,769
2023-12-19,0.024124934895833335,768
2023-12-20,0.02290914785992218,771
2023-12-21,0.02065692912371134,776
2023-12-22,0.019338804375804375,777
2023-12-23,0.022961544631306598,773
2023-12-24,0.022832509778357237,767
2023-12-25,0.023525684415584416,770
2023-12-26,0.020244216145833334,768
2023-12-27,0.021433215123859192,767
2023-12-28,0.020442360931435963,773
2023-12-29,0.02262427237354086,771
2023-12-30,0.022916784415584417,770
2023-12-31,0.026118,768
2024-01-01,0.023032015727391875,763
2024-01-02,0.022509980494148246,769
2024-01-03,0.02388607152145644,769
2024-01-04,0.02586434289439374,767
2024-01-05,0.023914514248704666,772
2024-01-06,0.02445193725490196,765
2024-01-07,0.026721137434554974,764
2024-01-08,0.024236778645833332,768
2024-01-09,0.02616848496732026,765
2024-01-10,0.02771252031454784,763
2024-01-11,0.027131980263157898,760
2024-01-12,0.026708032981530343,758
2024-01-13,0.0279806608811749,749
2024-01-14,0.027107372311827953,744
2024-01-15,0.0244722908847185,746
2024-01-16,0.026561258666666664,750
2024-01-17,0.0273230222513089,764
2024-01-18,0.024155766404199478,762
2024-01-19,0.026358080729166667,768
2024-01-20,0.02806833071895425,765
2024-01-21,0.028136770039421815,761
2024-01-22,0.025508971241830065,765
2024-01-23,0.022305119791666665,768
2024-01-24,0.01984711345646438,758
2024-01-25,0.019768348958333334,768
2024-01-26,0.02086824155844156,770
2024-01-27,0.02196004150453956,771
2024-01-28,0.023643169712793736,766
2024-01-29,0.02433621474773609,773
2024-01-30,0.02598107216494845,776
2024-01-31,0.027561567774936062,782
2024-02-01,0.026337838010204083,784
2024-02-02,0.02793735414012739,785
2024-02-03,0.029062512163892443,781
2024-02-04,0.030217971685971685,777
2024-02-05,0.02845362387676508,779
2024-02-06,0.027837707908163267,784
2024-02-07,0.03050501025641026,780
2024-02-08,0.02956170166453265,781
2024-02-09,0.02862692071611253,782
2024-02-10,0.02748320231958763,776
2024-02-11,0.02484355512820513,780
2024-02-12,0.025197885057471264,783
2024-02-13,0.028410891165172855,781
2024-02-14,0.0332823583227446,787
2024-02-15,0.03128090644753476,791
2024-02-16,0.030374434673366833,796
2024-02-17,0.032250253768844224,796
2024-02-18,0.03252618592964824,796
2024-02-19,0.032358224592220826,797
2024-02-20,0.03236760503144654,795
2024-02-21,0.03405014391143911,813
2024-02-22,0.03263970460048426,826
2024-02-23,0.031093543817527013,833
2024-02-24,0.03426820457280385,831
2024-02-25,0.03501603373493976,830
2024-02-26,0.03459756047904192,835
2024-02-27,0.03388471816037736,848
2024-02-28,0.03254455594405594,858
2024-02-29,0.030443510096575945,1139
2024-03-01,0.031067263250883395,1132
2024-03-02,0.03059939377777778,1125
2024-03-03,0.031012060444444444,1125
2024-03-04,0.03075133068081344,1131
2024-03-05,0.02850352743362832,1130
2024-03-06,0.027368302736098853,1133
2024-03-07,0.027641394366197183,1136
2024-03-08,0.028761589991220367,1139
2024-03-09,0.03112518221830986,1136
2024-03-10,0.03532306707855251,1133
2024-03-11,0.03753369169611307,1132
2024-03-12,0.037763150044130625,1133
2024-03-13,0.03744426666666667,1140
2024-03-14,0.03713423746701847,1137
2024-03-15,0.031011056189640035,1139
2024-03-16,0.03371496306068602,1137
2024-03-17,0.03370090396475771,1135
2024-03-18,0.033604464160839155,1144
2024-03-19,0.03614967015706807,1146
2024-03-20,0.03819750261780105,1146
2024-03-21,0.03684097894736842,1140
2024-03-22,0.03552726608695652,1150
2024-03-23,0.03819693641114982,1148
2024-03-24,0.03830414751286449,1166
2024-03-25,0.0381121926369863,1168
2024-03-26,0.03397990846877673,1169
2024-03-27,0.031523815384615385,1170
2024-03-28,0.036673868263473054,1169
2024-03-29,0.041389806148590946,1171
2024-03-30,0.03936749957155099,1167
2024-03-31,0.03631521495327103,1177
2024-04-01,0.0329787165820643,1182
2024-04-02,0.03519646588037068,1187
2024-04-03,0.03719347851727043,1187
2024-04-04,0.03828900591715976,1183
2024-04-05,0.039236348523206746,1185
2024-04-06,0.038728520710059174,1183
2024-04-07,0.03918822673434856,1182
2024-04-08,0.038408401687763716,1185
2024-04-09,0.03850146576500423,1183
2024-04-10,0.03801177937447168,1183
2024-04-11,0.03897517920540997,1183
2024-04-12,0.04179922966101695,1180
2024-04-13,0.044831545762711866,1180
2024-04-14,0.04531079676870748,1176
2024-04-15,0.04313965820642978,1182
2024-04-16,0.041217516863406405,1186
2024-04-17,0.0375227827181208,1192
2024-04-18,0.03533169798657718,1192
2024-04-19,0.03614599664710813,1193
2024-04-20,0.036101614153327716,1187
2024-04-21,0.035813530749789386,1187
2024-04-22,0.04132532271584242,1193
2024-04-23,0.041966139378673384,1191
2024-04-24,0.03931064507989908,1189
2024-04-25,0.038827529907329406,1187
2024-04-26,0.03888619512195122,1189
2024-04-27,0.037644157540016855,1187
2024-04-28,0.03587985304054054,1184
2024-04-29,0.038017808403361344,1190
2024-04-30,0.03795986540049546,1211
2024-05-01,0.03876165460526316,1216
2024-05-02,0.03841677467105263,1216
2024-05-03,0.03638403533278554,1217
2024-05-04,0.034435017326732674,1212
2024-05-05,0.033470289495450785,1209
2024-05-06,0.033306525577557755,1212
2024-05-07,0.03616931907894737,1216
2024-05-08,0.03711012757201646,1215
2024-05-09,0.03412472928630025,1219
2024-05-10,0.035254126229508194,1220
2024-05-11,0.03763399671592775,1218
2024-05-12,0.03845196396396396,1221
2024-05-13,0.03894542053789731,1227
2024-05-14,0.03754294444444445,1224
2024-05-15,0.03738464068908942,1219
2024-05-16,0.037623165016501654,1212
2024-05-17,0.0373178407960199,1206
2024-05-18,0.038683306922435365,1199
2024-05-19,0.039472541736227044,1198
2024-05-20,0.039568200329760925,1213
2024-05-21,0.04005298780487805,1230
2024-05-22,0.040179976345840134,1226
2024-05-23,0.03886620510708402,1214
2024-05-24,0.03950016078753077,1219
2024-05-25,0.036757807723911254,1217
2024-05-26,0.03862216680361545,1217
2024-05-27,0.03758545070422535,1207
2024-05-28,0.03906640298507463,1206
2024-05-29,0.038391162541254124,1212
2024-05-30,0.039521913863822804,1219
2024-05-31,0.0418004415372036,1223
2024-06-01,0.040537467213114756,1220
2024-06-02,0.03717625020508614,1219
2024-06-03,0.03610122559474979,1219
2024-06-04,0.03695599835255354,1214
2024-06-05,0.03436352844187964,1213
2024-06-06,0.03688785313531353,1212
2024-06-07,0.03827608484349259,1214
2024-06-08,0.037763213872832366,1211
2024-06-09,0.03469523203963666,1211
2024-06-10,0.032995781998348475,1211
2024-06-11,0.0364676,1210
2024-06-12,0.04112947729149463,1211
2024-06-13,0.044580082047116165,1231
2024-06-14,0.04338411330049261,1218
2024-06-15,0.041810200655200656,1221
2024-06-16,0.04068069134775374,1202
2024-06-17,0.03774627976686094,1201
2024-06-18,0.03683396589018303,1202
2024-06-19,0.036869905,1200
2024-06-20,0.036673956016597516,1205
2024-06-21,0.037409046396023195,1207
2024-06-22,0.03859302666666667,1200
2024-06-23,0.036270107769423555,1197
2024-06-24,0.038581433805162366,1201
2024-06-25,0.03943197672485453,1203
2024-06-26,0.03751278036605657,1202
2024-06-27,0.03644490050167224,1196
2024-06-28,0.03621108818635607,1202
2024-06-29,0.03320449622799664,1193
2024-06-30,0.03189715146443514,1195
2024-07-01,0.034213505376344086,1209
2024-07-02,0.03909544105523496,1213
2024-07-03,0.03715210444078947,1216
2024-07-04,0.034898608552631584,1216
2024-07-05,0.03579559124690339,1211
2024-07-06,0.037053122821576766,1205
2024-07-07,0.036956473466003316,1206
2024-07-08,0.038713878661087865,1195
2024-07-09,0.03824160099337748,1208
2024-07-10,0.03796444078947368,1216
2024-07-11,0.039088104958677684,1210
2024-07-12,0.038866229013854926,1227
2024-07-13,0.03883578400659522,1213
2024-07-14,0.03783876719138359,1207
2024-07-15,0.03978341652892562,1210
2024-07-16,0.03862332976092333,1213
2024-07-17,0.036206797197032146,1213
2024-07-18,0.03503849178981938,1218
2024-07-19,0.03681873420836751,1219
2024-07-20,0.03787403624382208,1214
2024-07-21,0.0367970986949429,1226
2024-07-22,0.036315097959183675,1225
2024-07-23,0.03756603025347506,1223
2024-07-24,0.03496646885245902,1220
2024-07-25,0.034696308380797396,1229
2024-07-26,0.03477629854368932,1236
2024-07-27,0.03511789504132231,1210
2024-07-28,0.03482423383084577,1206
2024-07-29,0.03384183100902379,1219
2024-07-30,0.03520637091503268,1224
2024-07-31,0.036331218241042344,1228
2024-08-01,0.03768242973856209,1224
2024-08-02,0.0367454008097166,1235
2024-08-03,0.03655455518945634,1214
2024-08-04,0.03560401883701884,1221
2024-08-05,0.03678342624286878,1227
2024-08-06,0.03595530944625407,1228
2024-08-07,0.03448150980392157,1224
2024-08-08,0.03523228016194332,1235
2024-08-09,0.032871595141700405,1235
2024-08-10,0.03325111721311476,1220
2024-08-11,0.03251906568144499,1218
2024-08-12,0.03114203865131579,1216
2024-08-13,0.030554017199017198,1221
2024-08-14,0.032523021276595745,1222
2024-08-15,0.03325495,1220
