date,pm25,pm25_n_stations
2023-02-15,6.3828411614238405,2416
2023-02-16,7.163415564710779,2403
2023-02-17,5.515539400993613,2818
2023-02-18,6.507289987126246,2408
2023-02-19,7.379644189883915,2412
2023-02-20,8.238302270825551,2677
2023-02-21,7.4452329075,2400
2023-02-22,6.793662249373433,2394
2023-02-23,6.712913801441442,2775
2023-02-24,6.063796997926172,2411
2023-02-25,7.922832961124897,2418
2023-02-26,9.893982594154643,2703
2023-02-27,8.362040103491273,2406
2023-02-28,7.354038021285475,2396
2023-03-01,9.037734836318052,2792
2023-03-02,8.071696536371237,2392
2023-03-03,7.947438848914858,2396
2023-03-04,7.09686658424015,2665
2023-03-05,7.411095890290039,2379
2023-03-06,7.553305748525696,2374
2023-03-07,6.645198215785663,2762
2023-03-08,6.219731475553698,2393
2023-03-09,6.7912623696287024,2397
2023-03-10,6.406002713323353,2672
2023-03-11,5.385386897608057,2383
2023-03-12,5.963549290824917,2376
2023-03-13,5.523601360902256,2793
2023-03-14,5.103225936967632,2348
2023-03-15,6.6775352743928424,2347
2023-03-16,8.255766773805043,2657
2023-03-17,7.840953071398571,2381
2023-03-18,5.365006180520571,2382
2023-03-19,4.968022470036101,2770
2023-03-20,6.87712402190396,2374
2023-03-21,8.56352479832636,2390
2023-03-22,9.572058329583802,2667
2023-03-23,9.238116226090604,2384
2023-03-24,7.024059424217119,2395
2023-03-25,5.914381115617218,2811
2023-03-26,6.4616606508403365,2380
2023-03-27,6.838516066999583,2403
2023-03-28,7.052127407380074,2710
2023-03-29,7.294503737597376,2439
2023-03-30,7.567488239390195,2427
2023-03-31,7.9191806893480585,2807
2023-04-01,6.0559346668048075,2413
2023-04-02,5.294056115255658,2386
2023-04-03,6.545205770244821,2655
2023-04-04,8.352369941394965,2423
2023-04-05,7.216688140307181,2409
2023-04-06,6.0121643520678685,2829
2023-04-07,5.4738484956701035,2425
2023-04-08,5.613629283471075,2420
2023-04-09,6.749785700336701,2673
2023-04-10,7.452126563204006,2397
2023-04-11,8.113479060330578,2420
2023-04-12,8.37137441534111,2829
2023-04-13,8.916980428512904,2441
2023-04-14,9.310299531071138,2446
2023-04-15,7.762639439692982,2736
2023-04-16,6.020115759934453,2441
2023-04-17,5.187660244453575,2434
2023-04-18,6.5659387506095435,2871
2023-04-19,7.660030197788697,2442
2023-04-20,8.670700550286181,2446
2023-04-21,7.355317344026549,2712
2023-04-22,5.907969760609807,2427
2023-04-23,5.34356531763734,2421
2023-04-24,6.392912807267545,2807
2023-04-25,7.822105384266886,2428
2023-04-26,8.419308147736626,2430
2023-04-27,8.045959093239228,2692
2023-04-28,7.469590588669951,2436
2023-04-29,6.445367752052545,2436
2023-04-30,4.790516326638477,2838
2023-05-01,4.426330493592394,2419
2023-05-02,4.339721951907131,2412
2023-05-03,4.60348374990751,2703
2023-05-04,5.635253805088223,2437
2023-05-05,6.231419012715341,2438
2023-05-06,6.910205134676564,2829
2023-05-07,6.9895518880197605,2429
2023-05-08,6.435161276386037,2435
2023-05-09,6.622981179733727,2704
2023-05-10,7.026916533086725,2433
2023-05-11,9.144761620107127,2427
2023-05-12,10.266708241246498,2856
2023-05-13,9.239633310118803,2441
2023-05-14,7.399339713638237,2427
2023-05-15,7.015264044172235,2694
2023-05-16,8.047338952556238,2445
2023-05-17,7.596075986928105,2448
2023-05-18,9.545877329109468,2841
2023-05-19,10.981954226407451,2469
2023-05-20,10.414603377804976,2451
2023-05-21,10.90322740832106,2716
2023-05-22,11.875217657282743,2451
2023-05-23,11.92219340862841,2457
2023-05-24,10.807368844087897,2867
2023-05-25,7.399435891825945,2459
2023-05-26,7.109856876022913,2444
2023-05-27,7.050785418329637,2706
2023-05-28,7.224364196054255,2433
2023-05-29,7.632866522134878,2417
2023-05-30,8.645351035112862,2791
2023-05-31,9.208431082135524,2435
2023-06-01,10.22272518647541,2440
2023-06-02,10.790910059970567,2718
2023-06-03,10.841078389413212,2437
2023-06-04,10.963513645721372,2419
2023-06-05,12.91020416143814,2837
2023-06-06,19.481366008571428,2450
2023-06-07,18.08589334262295,2440
2023-06-08,17.42890920228867,2709
2023-06-09,14.845054901960784,2448
2023-06-10,13.841592036065574,2440
2023-06-11,11.749950912424351,2809
2023-06-12,9.473439952085915,2421
2023-06-13,8.908993907263028,2437
2023-06-14,10.291131644469107,2703
2023-06-15,11.301768685457516,2448
2023-06-16,12.474679072156542,2453
2023-06-17,16.019251811103352,2864
2023-06-18,13.931107451294697,2433
2023-06-19,11.62311062355372,2420
2023-06-20,10.865852501124438,2668
2023-06-21,9.372619775216137,2429
2023-06-22,7.76904320306038,2418
2023-06-23,8.383410008282318,2777
2023-06-24,8.962271084583334,2400
2023-06-25,8.692486378705636,2395
2023-06-26,10.721370139173304,2637
2023-06-27,15.688653126341865,2422
2023-06-28,19.499626390961858,2412
2023-06-29,21.150337238212526,2842
2023-06-30,18.165050197188922,2419
2023-07-01,14.217305490549828,2328
2023-07-02,10.611865374464772,2569
2023-07-03,8.917740436123347,2270
2023-07-04,11.917090630890053,2292
2023-07-05,11.24589585995458,2642
2023-07-06,8.018694801503095,2262
2023-07-07,7.441219203646065,2249
2023-07-08,7.188974596191986,2521
2023-07-09,6.690309838294092,2251
2023-07-10,7.172908455615942,2208
2023-07-11,7.916141145552561,2597
2023-07-12,8.470470956900504,2181
2023-07-13,8.05840357827476,2191
2023-07-14,8.678416308261404,2433
2023-07-15,11.238027547761883,2167
2023-07-16,13.890094593503479,2155
2023-07-17,17.807892384615386,2509
2023-07-18,14.76995471197411,2163
2023-07-19,11.918902556734318,2168
2023-07-20,10.671418304098362,2440
2023-07-21,9.076801484521575,2132
2023-07-22,8.884499328651685,2136
2023-07-23,10.538103121200159,2533
2023-07-24,11.614759691553896,2143
2023-07-25,12.950975976851852,2160
2023-07-26,12.929196667220607,2407
2023-07-27,11.672861413023256,2150
2023-07-28,10.433321774268464,2153
2023-07-29,8.050076157080523,2521
2023-07-30,6.921853259552656,2146
2023-07-31,7.920560579878901,2147
2023-08-01,8.21712081550916,2347
2023-08-02,8.759833661736641,2096
2023-08-03,9.145188698473284,2096
2023-08-04,10.142912241819634,2506
2023-08-05,10.919670027619047,2100
2023-08-06,9.761692056829034,2094
2023-08-07,8.69591468992248,2322
2023-08-08,8.612425688792689,2079
2023-08-09,9.062996062709429,2089
2023-08-10,7.891446305229024,2467
2023-08-11,7.242755698193916,2104
2023-08-12,6.581125155049787,2109
2023-08-13,5.876765276766822,2363
2023-08-14,6.1375589698275865,2088
2023-08-15,6.735411854066986,2090
2023-08-16,7.798333224220623,2502
2023-08-17,8.88053503030303,2079
2023-08-18,10.076693284074604,2091
2023-08-19,10.945208183354456,2367
2023-08-20,12.488808433908046,2088
2023-08-21,13.080519807025986,2078
2023-08-22,11.914011823625923,2438
2023-08-23,11.399122701644101,2068
2023-08-24,10.999333846004843,2065
2023-08-25,10.290312060034305,2332
2023-08-26,8.840259436345967,2058
2023-08-27,8.37946899609375,2048
2023-08-28,8.54600998243464,2448
2023-08-29,9.588024535314174,2053
2023-08-30,9.516684617308654,1999
2023-08-31,8.151450572743208,2282
2023-09-01,7.59857186159844,2052
2023-09-02,7.506303359747205,2057
2023-09-03,8.441578486564696,2419
2023-09-04,8.64000523884257,2039
2023-09-05,9.442286567992145,2037
2023-09-06,11.257736684919601,2301
2023-09-07,10.193295980392156,2040
2023-09-08,8.332318733040509,2049
2023-09-09,7.902757655144368,2459
2023-09-10,7.558951466405101,2039
2023-09-11,7.1974071021611,2036
2023-09-12,6.6536400707201375,2319
2023-09-13,6.427964108451393,2047
2023-09-14,6.662754282226563,2048
2023-09-15,7.387271843338816,2432
2023-09-16,8.463617989320388,2060
2023-09-17,7.915882898288508,2045
2023-09-18,7.739467585620914,2295
2023-09-19,8.386751530185004,2054
2023-09-20,9.967789813352827,2052
2023-09-21,10.065660045528455,2460
2023-09-22,9.849114584023381,2053
2023-09-23,8.569773393049436,2043
2023-09-24,7.464492027062419,2291
2023-09-25,6.962957734683794,2024
2023-09-26,6.940438463209876,2025
2023-09-27,6.612852661009934,2416
2023-09-28,7.243211890255906,2032
2023-09-29,7.224908009485771,2003
2023-09-30,8.013463864263462,2247
2023-10-01,8.161200576092416,1991
2023-10-02,8.072980645648776,1919
2023-10-03,9.836390401873137,2349
2023-10-04,9.59057546094553,1946
2023-10-05,7.77662545948718,1950
2023-10-06,6.144296523063144,2233
2023-10-07,5.0442355386981035,1951
2023-10-08,4.759695519319939,1941
2023-10-09,5.200145555987894,2313
2023-10-10,5.8646050567595465,1938
2023-10-11,6.630341378142638,1949
2023-10-12,6.426979729043952,2207
2023-10-13,5.537285062821833,1942
2023-10-14,4.634315205287714,1929
2023-10-15,3.868197888793841,2338
2023-10-16,4.360952187306501,1938
2023-10-17,5.834567217547461,1949
2023-10-18,7.083731793679458,2215
2023-10-19,7.891561534907598,1948
