date,humidity,humidity_n_stations
2023-08-19,56.90497637740385,416
2023-08-20,66.12805412106538,413
2023-08-21,65.6479921826923,416
2023-08-22,62.785445743405276,417
2023-08-23,60.78162382608696,414
2023-08-24,60.592387461538465,416
2023-08-25,62.42459374457832,415
2023-08-26,59.90027030843373,415
2023-08-27,57.85982073798077,416
2023-08-28,55.988491403846155,416
2023-08-29,54.319518978417264,417
2023-08-30,51.8110308444976,418
2023-08-31,49.717833480861245,418
2023-09-01,56.694199011990406,417
2023-09-02,62.251860788461535,416
2023-09-03,62.43169948433735,415
2023-09-04,64.17438137590361,415
2023-09-05,61.81436221256039,414
2023-09-06,58.3986046618705,417
2023-09-07,55.208707539568344,417
2023-09-08,53.755177759615385,416
2023-09-09,55.66794335731415,417
2023-09-10,60.21962573798077,416
2023-09-11,63.945917317307696,416
2023-09-12,63.034786675480774,416
2023-09-13,63.245127697115386,416
2023-09-14,62.36755856698564,418
2023-09-15,60.47308966028708,418
2023-09-16,59.67175432296651,418
2023-09-17,59.45718034210527,418
2023-09-18,57.979101732057416,418
2023-09-19,58.43803276019185,417
2023-09-20,60.06675065155131,419
2023-09-21,63.92854151073986,419
2023-09-22,64.24193059665872,419
2023-09-23,62.19187105011933,419
2023-09-24,61.772225820574164,418
2023-09-25,59.755780332535885,418
2023-09-26,58.688346227817746,417
2023-09-27,58.38740290191387,418
2023-09-28,60.440660522673035,419
2023-09-29,62.47415984210526,418
2023-09-30,62.644342021634614,416
2023-10-01,64.37668770873786,412
2023-10-02,66.16948972048192,415
2023-10-03,64.55140156144579,415
2023-10-04,62.262750830917874,414
2023-10-05,61.76257709397591,415
2023-10-06,59.152886843373494,415
2023-10-07,56.44976091346154,416
2023-10-08,52.43966176442307,416
2023-10-09,53.94311331807229,415
2023-10-10,58.447946824096384,415
2023-10-11,65.2253182139423,416
2023-10-12,67.33219546859902,414
2023-10-13,63.369998983132525,415
2023-10-14,64.55399666019417,412
2023-10-15,59.30307379611651,412
2023-10-16,59.289511872289154,415
2023-10-17,58.327931853365385,416
2023-10-18,56.97382927228915,415
2023-10-19,57.196250187951804,415
2023-10-20,56.41895891304348,414
2023-10-21,57.43539392251816,413
2023-10-22,60.7892462902439,410
2023-10-23,63.85006837046005,413
2023-10-24,66.87088000728156,412
2023-10-25,68.26606410653753,413
2023-10-26,69.80431664648911,413
2023-10-27,68.34167806779661,413
2023-10-28,67.6705677330097,412
2023-10-29,63.1276329684466,412
2023-10-30,57.84334966828087,413
2023-10-31,51.82380065700483,414
2023-11-01,49.76366013399504,403
2023-11-02,48.40540825742574,404
2023-11-03,50.9275073866995,406
2023-11-04,56.79339314814815,405
2023-11-05,58.002905398514855,404
2023-11-06,59.64006090841584,404
2023-11-07,65.59391143349754,406
2023-11-08,61.08490178078817,406
2023-11-09,58.0863316765432,405
2023-11-10,56.403090425742576,404
2023-11-11,54.84717191770574,401
2023-11-12,52.17873257605984,401
2023-11-13,52.19617202716049,405
2023-11-14,52.64207502970297,404
2023-11-15,57.9509985382716,405
2023-11-16,70.56366476790124,405
2023-11-17,72.18189998267327,404
2023-11-18,70.89875170471464,403
2023-11-19,67.3563172970297,404
2023-11-20,62.17504891831683,404
